Player,Nation,POS,Age,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_PK,Standard_PKatt,Team
Daniel Faundez,USA,GK,31,1.0,0,0,0,,0.0,0.0,,,,0,0,Louisville City
Carlos Moguel,USA,MF,20,0.5,0,0,0,,0.0,0.0,,,,0,0,Louisville City
Tola Showunmi, ENG,FW,23,0.7,1,2,1,50.0,3.05,1.53,0.5,1.0,,0,0,Louisville City
Evan Davila,,MF,,0.3,0,0,0,,0.0,0.0,,,,0,0,Louisville City
Dylan Mares,USA,FW,32,0.1,0,0,0,,0.0,0.0,,,,0,0,Louisville City
Hayden Stamps,,DF,,0.0,0,0,0,,0.0,0.0,,,,0,0,Louisville City
Aaron Molloy,IRL,MF,27,12.9,2,15,5,33.3,1.16,0.39,0.13,0.4,,0,1,Charleston Battery
Mark Segbers,USA,DF,28,12.9,0,0,0,,0.0,0.0,,,,0,0,Charleston Battery
Graham Smith,USA,DF,28,12.9,0,12,0,0.0,0.93,0.0,0.0,,,0,0,Charleston Battery
Nick Markanich,PHI,MF,24,11.6,12,40,23,57.5,3.46,1.99,0.25,0.43,,2,2,Charleston Battery
Nathan Dossantos,USA,DF,25,11.1,0,0,0,,0.0,0.0,,,,0,0,Charleston Battery
Adam Grinwis,USA,GK,32,11.0,0,0,0,,0.0,0.0,,,,0,0,Charleston Battery
MD Myers,USA,FW,23,10.6,6,30,18,60.0,2.82,1.69,0.2,0.33,,0,0,Charleston Battery
Emilio Ycaza,USA,MF,26,9.9,2,16,6,37.5,1.61,0.6,0.13,0.33,,0,0,Charleston Battery
Chris Allan, ENG,MF,25,9.2,0,14,4,28.6,1.53,0.44,0.0,0.0,,0,0,Charleston Battery
Leland Archer,TRI,DF,28,8.9,0,10,2,20.0,1.13,0.23,0.0,0.0,,0,0,Charleston Battery
Juan Torres,COL,MF,23,8.1,1,33,15,45.5,4.06,1.85,0.03,0.07,,0,0,Charleston Battery
Diego Gutierrez,USA,MF,25,5.1,0,14,2,14.3,2.73,0.39,0.0,0.0,,0,0,Charleston Battery
