Player,Nation,POS,Age,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Team
Nouhou Tolo,CMR,DF,26,13.1,17.0,1.3,13.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seattle Sounders
Raúl Ruidíaz,PER,FW,33,12.8,35.0,2.73,24.0,0.0,3.0,6.0,1.0,1.0,2.0,0.16,2.0,0.0,0.0,0.0,0.0,0.0,Seattle Sounders
Albert Rusnák,SVK,MF,29,13.2,45.0,3.42,24.0,17.0,1.0,1.0,1.0,1.0,7.0,0.53,4.0,2.0,0.0,0.0,1.0,0.0,Seattle Sounders
Yeimar Gómez Andrade,COL,DF,31,13.1,12.0,0.92,9.0,0.0,0.0,2.0,1.0,0.0,1.0,0.08,0.0,0.0,0.0,0.0,1.0,0.0,Seattle Sounders
João Paulo Mior,BRA,MF,33,8.8,30.0,3.4,16.0,10.0,0.0,1.0,2.0,1.0,1.0,0.11,1.0,0.0,0.0,0.0,0.0,0.0,Seattle Sounders
Joshua Atencio,USA,MF,22,8.6,26.0,3.02,23.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seattle Sounders
Léo Chú,BRA,FW,24,4.3,14.0,3.24,12.0,0.0,1.0,0.0,1.0,0.0,2.0,0.46,2.0,0.0,0.0,0.0,0.0,0.0,Seattle Sounders
Cody Baker,USA,DF,20,5.3,12.0,2.25,12.0,0.0,0.0,0.0,0.0,0.0,3.0,0.56,3.0,0.0,0.0,0.0,0.0,0.0,Seattle Sounders
Andrew Thomas,RUS,GK,25,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seattle Sounders
Jon Bell,JAM,DF,26,3.0,1.0,0.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seattle Sounders
Daniel Musovski,USA,FW,28,3.7,6.0,1.59,3.0,0.0,1.0,2.0,0.0,0.0,1.0,0.26,1.0,0.0,0.0,0.0,0.0,0.0,Seattle Sounders
Xavier Arreaga,ECU,DF,29,2.8,1.0,0.35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seattle Sounders
Danny Leyva,USA,MF,21,2.0,8.0,3.96,3.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seattle Sounders
Sota Kitahara,USA,DF,21,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seattle Sounders
Reed Baker-Whiting,USA,DF,19,1.7,5.0,2.94,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seattle Sounders
Pedro De la Vega,ARG,MF,23,1.2,3.0,2.6,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seattle Sounders
Georgi Minoungou,CIV,FW,21,1.1,5.0,4.69,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seattle Sounders
Dylan Teves,USA,MF,24,0.9,2.0,2.28,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seattle Sounders
Nathan Cardoso,BRA,DF,29,0.7,1.0,1.43,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seattle Sounders
Paul Rothrock,USA,FW,25,2.2,4.0,1.81,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.45,0.0,0.0,0.0,0.0,1.0,0.0,Seattle Sounders
Kalani Rienzi,USA,DF,21,0.1,1.0,6.92,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seattle Sounders
Antino Lopez,USA,MF,22,0.1,1.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seattle Sounders
Roman Bürki,SUI,GK,33,17.0,7.0,0.41,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,St Louis City
Tomas Totland,NOR,DF,25,15.6,38.0,2.43,32.0,2.0,2.0,0.0,2.0,0.0,3.0,0.19,2.0,0.0,1.0,0.0,0.0,0.0,St Louis City
Klauss,BRA,FW,27,14.2,52.0,3.66,34.0,0.0,6.0,8.0,3.0,1.0,3.0,0.21,2.0,0.0,1.0,0.0,0.0,0.0,St Louis City
Célio Pompeu,BRA,FW,24,13.8,61.0,4.42,37.0,10.0,9.0,3.0,2.0,0.0,4.0,0.29,3.0,0.0,0.0,0.0,1.0,0.0,St Louis City
Indiana Vassilev,USA,MF,23,12.7,47.0,3.71,28.0,11.0,1.0,5.0,2.0,0.0,2.0,0.16,0.0,2.0,0.0,0.0,0.0,0.0,St Louis City
Chris Durkin,USA,MF,24,14.4,42.0,2.93,34.0,0.0,2.0,0.0,4.0,2.0,3.0,0.21,3.0,0.0,0.0,0.0,0.0,0.0,St Louis City
Tim Parker,USA,DF,31,13.9,12.0,0.86,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,St Louis City
Anthony Markanich,PHI,DF,24,12.4,33.0,2.65,27.0,3.0,0.0,1.0,0.0,2.0,1.0,0.08,0.0,1.0,0.0,0.0,0.0,0.0,St Louis City
Joakim Nilsson,SWE,DF,30,9.7,4.0,0.41,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,St Louis City
Aziel Jackson,USA,FW,22,8.9,31.0,3.48,13.0,9.0,3.0,3.0,3.0,0.0,2.0,0.22,0.0,1.0,0.0,0.0,1.0,0.0,St Louis City
Tomáš Ostrák,CZE,MF,24,7.7,19.0,2.49,15.0,0.0,1.0,0.0,1.0,2.0,3.0,0.39,3.0,0.0,0.0,0.0,0.0,0.0,St Louis City
Rasmus Alm,SWE,FW,28,6.0,15.0,2.49,12.0,0.0,3.0,0.0,0.0,0.0,2.0,0.33,2.0,0.0,0.0,0.0,0.0,0.0,St Louis City
Kyle Hiebert,CAN,DF,26,7.2,9.0,1.25,7.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,St Louis City
Eduard Löwen,GER,MF,27,6.2,45.0,7.23,24.0,10.0,1.0,7.0,3.0,0.0,4.0,0.64,3.0,1.0,0.0,0.0,0.0,0.0,St Louis City
Njabulo Blom,RSA,MF,24,4.9,11.0,2.25,9.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,St Louis City
Samuel Adeniran,USA,FW,25,5.7,12.0,2.09,7.0,0.0,2.0,3.0,0.0,0.0,2.0,0.35,1.0,0.0,1.0,0.0,0.0,0.0,St Louis City
Joshua Yaro,GHA,DF,29,5.4,1.0,0.19,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.19,1.0,0.0,0.0,0.0,0.0,0.0,St Louis City
Hosei Kijima,JPN,MF,21,3.7,12.0,3.2,9.0,0.0,1.0,0.0,2.0,0.0,1.0,0.27,1.0,0.0,0.0,0.0,0.0,0.0,St Louis City
Akil Watts,USA,DF,24,2.2,1.0,0.45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,St Louis City
Nikolas Dyhr,DEN,DF,22,1.5,2.0,1.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,St Louis City
Nökkvi Þórisson,ISL,FW,24,3.1,13.0,4.15,9.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,St Louis City
Jake Nerwinski,USA,DF,29,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,St Louis City
John Klein,USA,FW,24,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,St Louis City
